word,times
có,34
chạy,25
được,24
ra,24
ngủ,24
bị,23
là,19
lái,18
mất,16
nghiêng,15
đi,14
phải,13
kiểm soát,13
khiến,12
nói,12
làm,11
đến,10
điều khiển,10
gây,10
Ngủ,10
biết,9
name,9
nhận,9
đâm,9
đón,8
sang,8
Vận tải,8
dừng,8
lên,8
lái xe,8
trả,8
lại,8
vận tải,8
tăng cường,7
lao,7
nổ,6
tông,6
vi phạm,6
gọi,6
xảy,6
kinh doanh,6
thấy,6
tiếp tục,6
xử lý,6
cho,6
nhíp,6
ảnh hưởng,5
lấy,5
lật,5
tử vong,5
rùng mình,5
có mặt,5
chở,5
lo ngại,5
cho rằng,5
quan sát,5
cứu hộ,5
dẫn,5
tạt,5
hoạt động,5
lắp,4
thực hiện,4
nhắn tin,4
theo,4
hóa,4
tính,4
quẹt,4
chia sẻ,4
kể,4
hành nghề,4
về,4
quay,4
kiểm tra,4
dùng,4
gắn,4
chếch,4
nghỉ,4
dậy,4
đóng,4
lưu thông,4
liên ngành,4
vô,4
nhìn,3
va chạm,3
đứng,3
ô tô,3
thanh toán,3
húc,3
bay,3
lạng,3
chờ,3
lăn,3
chạy theo,3
buộc,3
nghiêng ngả,3
mở cửa,3
qua đường,3
xuống,3
cua,3
dồn,3
trú,3
dốc ngược,3
nhẽ,3
đổ,3
xuống đường,3
đứng ra,3
chịu,3
đe dọa,3
nhắc,3
trông,3
buonduale,3
nick,3
bùm,3
nbsp,3
nhồi,3
vtv2,3
bình luận,3
Xây dựng,3
chuyến,3
Sở dĩ,3
hết,3
bảo vệ,3
đợi,3
lo,3
cầm chừng,3
cho phép,3
lật nhào,3
xuất hiện,3
lắc,3
rung,3
ngã,3
bồn,3
Lúc đó,3
hiện tượng,3
động viên,3
48,3
lâu năm,3
ghi,3
sửa chữa,3
thiết kế,3
gật gù,2
chỉ đạo,2
cấp,2
bổ sung,2
quy định,2
thêm,2
hợp thức,2
lơ mơ,2
thiếu,2
tốn kém,2
lách,2
Tới,2
đổi,2
thay đổi,2
tích hợp,2
sản xuất,2
đưa,2
phiền hà,2
chấp hành,2
rẽ,2
chấn thương,2
xảy ra,2
51E,2
đoạn giao,2
hướng,2
đáng,2
trụ,2
nhờ,2
ùn tắc,2
sinh,2
đèn đỏ,2
đạt,2
giám sát,2
đăng ký,2
gồm,2
tập trung,2
cấp cứu,2
leo,2
đòi hỏi,2
ý thức,2
mượn,2
tài xế,2
máy tay,2
báo hiệu,2
quay vòng,2
báo,2
hành khách,2
sử dụng,2
nhường,2
du lịch,2
xin,2
giải nghệ,2
đành,2
thăm,2
nghỉ phép,2
vô chừng,2
đánh xe,2
ăn uống,2
Lên,2
ngủ gục,2
ngồi,2
còn,2
đánh giá,2
thay,2
kéo dài,2
xếp,2
Như ý,2
ứng phó,2
chợp mắt,2
Theo,2
chụp,2
thót,2
lo sợ,2
nhắc nhở,2
nằm,2
ngăn chặn,2
vặn,2
Kiểm soát,2
lăng,2
cầm,2
đằng sau,2
tỉnh táo,2
nghiện,2
hút,2
để ý,2
cây xăng,2
ăn,2
đánh,2
đường trường,2
liều mạng,2
rèn,2
Đến,2
hỏi,2
gửi,2
phụ,2
vùi,2
vật vờ,2
Thất kinh,2
nếm mùi,2
mở,2
gục,2
hay biết,2
tiếp,2
ngủ thiếp,2
xe buýt,1
trị giá,1
lập,1
giúp đỡ,1
cần,1
eSight,1
dựng,1
đảm,1
phản ánh,1
chăm sóc,1
15h,1
Vào,1
mang,1
tới,1
đỗ,1
bị thương,1
thông qua,1
hoàn thành,1
cho biết,1
nhờ có,1
vuốt,1
đạp,1
cực mạnh,1
vạ vật,1
Nói,1
ngủ gật,1
Phòng chống,1
văng,1
Va chạm,1
Hiện trường,1
ghi nhận,1
tìm hiểu,1
mắc,1
phát triển,1
bảo,1
lúc đó,1
tham gia,1
